start,end,_1_What_is_your_age,_2_What_is_your_level_of_education,_3_How_many_years_have_you_been_engaged_in_strawberry_farming,_4_4_How_large_is_your_strawberry_farm,_5_5_Are_you_a_member_of_any_farmer_network_or_association,_6_6_How_often_do_you_attend_meetings_or_activities_organized_by_your_farmer_association,_7_7_Do_you_think_being_a_part_of_a_farmer_network_has_improved_your_farming_practices,_8_8_How_do_you_rate_the_support_you_receive_from_farmer_associations_in_terms_of_resources,_9_How_much_do_you_trust_other_strawberry_farmers_in_your_community,_10_How_often_do_you_exchange_farming_information_with_other_farmers,_11_Do_you_believe_the_information_shared_by_other_farmers_has_positively_impacted_your_strawberry_yields,_12_How_willing_are_you_to_share_your_own_farming_knowledge_with_other_strawberry_farmers,_13_Do_you_participate_in_any_group_activities_related_to_strawberry_farming,_14_How_often_does_your_community_engage_in_collective_action_to_solve_agricultural_challenges,_15_How_effective_has_collective_action_been_in_improving_strawberry_farming_outcomes_in_your_community,_16_Does_your_community_provide_any_form_of_support_during_farming_crises,_17_Do_you_use_organic_or_ecological_farming_practices,_18_How_satisfied_are_you_with_the_quality_of_your_soil_and_land_for_strawberry_farming,_19_How_accessible_are_agricultural_resources_in_your_region,_20_Have_you_received_any_formal_training_on_sustainable_strawberry_farming_techniques,_21_How_would_you_describe_your_strawberry_yields_over_the_past_year,_22_Has_your_strawberry_yield_increased_or_decreased_over_the_past_3_years,_23_What_do_you_think_is_the_most_significant_factor_limiting_your_strawberry_yields,_24_How_would_you_describe_your_strawberry_yields_over_the_past year,,,,,,,,_tags,_notes
2024-11-11T20:09:36.499+03:00,2024-11-12T10:09:16.276+03:00,30_40,primary,2_5_years,1_3_acres,no,,,,not_at_all,occasionally,slightly,very_willing,no,,not_effective,no,yes,very_satisfied,moderately_accessible,no,very_low,decreased,lack_of_access_to_resources,moderately,,,,,,,,,
2024-11-11T20:15:12.300+03:00,2024-11-11T21:02:35.240+03:00,41_50,secondary,less_than_2_years,4_6_acres,yes,occasionally,moderately,good,moderately,occasionally,slightly,very_willing,yes,occasionally,moderately_effective,no,yes,moderately_satisfied,moderately_accessible,no,moderate,decreased,lack_of_access_to_resources,significantly,,,,,,,,,
2024-11-12T10:15:07.211+03:00,2024-11-12T10:16:53.126+03:00,above_50,no_formal_education,6_10_years,4_6_acres,no,,,,slightly,never,slightly,slightly_willing,no,,not_effective,no,no,very_satisfied,moderately_accessible,no,very_low,decreased,lack_of_access_to_resources,moderately,,,,,,,,,
2024-11-12T10:16:53.169+03:00,2024-11-12T10:30:05.662+03:00,41_50,secondary,2_5_years,1_3_acres,no,,,,moderately,occasionally,significantly,very_willing,no,,not_effective,no,no,very_satisfied,slightly_accessible,no,low,decreased,climate_factors,significantly,,,,,,,,,
2024-11-12T10:19:00.579+03:00,2024-11-12T10:20:20.801+03:00,below_30,secondary,2_5_years,1_3_acres,no,,,,slightly,never,not_at_all,slightly_willing,no,,not_effective,no,yes,very_satisfied,not_accessible,no,very_low,decreased,lack_of_information_exchange,significantly,,,,,,,,,
2024-11-12T10:20:20.840+03:00,2024-11-12T10:21:47.365+03:00,above_50,no_formal_education,6_10_years,1_3_acres,no,,,,not_at_all,never,not_at_all,very_willing,no,,not_effective,no,no,very_satisfied,moderately_accessible,no,very_low,decreased,lack_of_access_to_resources,significantly,,,,,,,,,
2024-11-12T10:21:47.422+03:00,2024-11-12T10:25:13.230+03:00,30_40,secondary,6_10_years,1_3_acres,no,,,,not_at_all,never,not_at_all,slightly_willing,no,,not_effective,no,yes,very_satisfied,moderately_accessible,no,very_low,decreased,lack_of_information_exchange,significantly,,,,,,,,,
2024-11-12T10:25:13.263+03:00,2024-11-12T10:26:56.565+03:00,above_50,no_formal_education,6_10_years,4_6_acres,no,,,,moderately,never,slightly,moderately_willing,yes,rarely,slightly_effective,no,yes,moderately_satisfied,moderately_accessible,no,very_low,decreased,lack_of_information_exchange,significantly,,,,,,,,,
2024-11-12T10:26:56.614+03:00,2024-11-12T10:29:01.912+03:00,below_30,secondary,less_than_2_years,less_than_1_acre,no,,,,slightly,never,slightly,slightly_willing,yes,rarely,not_effective,no,no,moderately_satisfied,moderately_accessible,no,very_low,decreased,lack_of_information_exchange,moderately,,,,,,,,,
2024-11-12T10:29:01.963+03:00,2024-11-12T10:43:29.916+03:00,below_30,tertiary,less_than_2_years,1_3_acres,no,,,,slightly,occasionally,slightly,slightly_willing,no,,not_effective,no,no,moderately_satisfied,slightly_accessible,no,very_low,decreased,lack_of_access_to_resources,moderately,,,,,,,,,
2024-11-12T10:43:29.988+03:00,2024-11-12T10:45:40.085+03:00,30_40,primary,2_5_years,1_3_acres,yes,occasionally,significantly,average,completely,frequently,significantly,very_willing,yes,occasionally,very_effective,no,yes,moderately_satisfied,moderately_accessible,yes,moderate,remained_the_same,climate_factors,significantly,,,,,,,,,
2024-11-12T10:45:40.164+03:00,2024-11-12T10:50:23.535+03:00,above_50,no_formal_education,6_10_years,4_6_acres,yes,occasionally,significantly,good,moderately,frequently,moderately,very_willing,yes,rarely,moderately_effective,no,yes,moderately_satisfied,slightly_accessible,yes,moderate,remained_the_same,lack_of_access_to_resources,significantly,,,,,,,,,
2024-11-12T10:50:23.590+03:00,2024-11-25T16:58:23.965+03:00,above_50,primary,6_10_years,4_6_acres,no,,,,moderately,never,slightly,moderately_willing,no,,slightly_effective,no,yes,slightly_satisfied,slightly_accessible,yes,moderate,decreased,lack_of_information_exchange,slightly,,,,,,,,,
2024-11-25T16:58:24.022+03:00,2024-11-30T13:21:13.443+03:00,below_30,no_formal_education,less_than_2_years,less_than_1_acre,yes,never,moderately,good,moderately,never,not_at_all,slightly_willing,no,,moderately_effective,no,no,very_satisfied,moderately_accessible,yes,low,decreased,lack_of_access_to_resources,slightly,,,,,,,,,
2024-12-03T12:52:12.709+03:00,2024-12-03T13:00:31.588+03:00,30_40,secondary,2_5_years,1_3_acres,yes,occasionally,significantly,good,completely,frequently,significantly,very_willing,yes,rarely,moderately_effective,no,yes,slightly_satisfied,slightly_accessible,yes,moderate,increased,climate_factors,significantly,,,,,,,,,
2024-12-03T13:00:31.640+03:00,2024-12-03T13:06:55.380+03:00,below_30,tertiary,2_5_years,1_3_acres,yes,frequently,moderately,good,slightly,frequently,slightly,moderately_willing very_willing,yes,occasionally,moderately_effective,no,yes,slightly_satisfied,moderately_accessible,yes,low,increased,climate_factors,moderately,,,,,,,,,
2024-12-03T13:06:55.407+03:00,2024-12-03T13:10:14.028+03:00,41_50,primary,less_than_2_years,4_6_acres,no,,,,not_at_all,occasionally,significantly,not_willing,yes,never,slightly_effective,no,yes,moderately_satisfied,moderately_accessible,no,very_low,increased,lack_of_access_to_resources lack_of_information_exchange climate_factors,slightly,,,,,,,,,
2024-12-03T13:10:14.066+03:00,2024-12-04T09:33:34.134+03:00,above_50,primary,2_5_years,4_6_acres,yes,frequently,significantly,excellent,completely,always,significantly,very_willing,yes,frequently,very_effective,no,yes,very_satisfied,very_accessible,yes,moderate,increased,climate_factors,significantly,,,,,,,,,
2024-12-04T09:33:34.161+03:00,2024-12-06T15:43:45.652+03:00,30_40,primary,2_5_years,more_than_6_acres,no,,,,completely,occasionally,slightly,moderately_willing,no,,very_effective,no,yes,not_satisfied,not_accessible,yes,very_low,decreased,lack_of_information_exchange,slightly,,,,,,,,,
